7,13.2,3.5,9.6,0
7,8.7,4.8,5,0.2
7,12.1,1.8,9.8,6.4
7,9.5,1,9.8,0
7,12.3,1.6,6.2,0.4
7,12,2.3,9.7,0
7,12.7,1,10.3,0.2
7,13.9,2.3,9.7,0
7,15.6,3.3,10.3,0.4
7,15.5,8.5,3.2,0
7,15.9,10.1,10.1,0
7,16,4.7,10.5,6
7,15.9,7.9,2.2,0
7,11.7,6.6,6.6,18.2
7,12.5,5.4,10.7,0
7,13.4,2.2,10,0
7,12.7,4.5,9.3,0
7,13.8,3.1,10.1,0
7,12.1,6.1,7.8,4.4
7,12.4,0.7,11.1,0.1
7,12.1,1.9,11.1,0
7,13,0.3,11.5,0
7,15.8,1.1,11.4,0.2
7,13.4,3.1,10.4,0
7,7,0,5.4,0
7,13.2,2,9.4,0.5
7,15.2,3.4,11.7,0
7,14.2,6.2,2.7,0
7,15,8.8,4.1,5.2
7,15.3,10,7,1
7,14.6,9.5,8.6,0.4
8,10.9,8.1,6.6,0
8,13.9,5.8,11.6,1.2
8,14.9,3.4,11.9,0
8,10.4,6.9,7.2,0
8,12.8,6,10.6,0.2
8,13,3.8,12.5,0
8,13.7,1.7,12.3,0
8,13.5,3.4,12.1,0
8,15.4,3.8,13.5,0
8,17.9,6.6,5.2,3.6
8,10,7.6,4.5,0
8,13.6,7,8.8,16.2
8,14.2,4,12.6,0.2
8,15.3,6.8,8.5,0
8,13.5,7.6,7.8,0
8,12.5,5.7,8.7,4.4
8,12.2,1.6,14.8,0
8,13.2,3.6,3.3,0
8,15.8,8.7,12.2,4
8,12.8,3.4,13.5,0
8,13.8,2.4,12.8,0
8,15.3,4.8,13.8,0
8,11.9,7.4,8.3,0.2
8,13.8,6.3,11.1,0
8,12.4,1.8,13.6,0.8
8,11.4,6.1,10.6,1.6
8,13.3,7.3,11.6,1.4
8,14.3,2.4,14.3,0
8,15.5,4,13.7,0
8,15.4,3.5,15.3,0.4
8,16.4,3.8,14.9,0
9,17.1,10.3,6.3,0
9,18.9,10.9,13,0.6
9,20.1,5.1,13.6,0
9,18.1,11.6,4.9,14.2
9,15.2,9.3,12.6,0
9,15.3,4.9,10.7,12
9,14.8,3.1,15.9,2.6
9,16.7,3.7,17.2,0
9,16.8,11.1,7.9,0
9,15.3,9.4,13.1,9
9,17,5.2,17.7,0
9,17.9,6.8,12.9,0
9,19.6,8.8,15.8,2.2
9,13.8,8.9,3.6,0
9,14.1,4.9,16.4,21.4
9,11,6.3,10.1,0
9,14.5,3.3,19.7,0
9,15.1,6,16.2,0
9,17.3,4.4,17.4,0
9,18,3.4,20.5,0
9,18.9,4.7,20.4,0
9,18.7,6.7,20.8,0
9,19.7,3.4,21.6,0
9,18.8,3.6,21.9,0
9,22.5,8,19.8,0
9,21.7,7,21.9,0
9,22.2,9.4,17.9,0
9,15.3,5,19.3,0
9,15,2.1,22.4,0
9,15.2,0.8,21.4,0
10,18,6.6,19.2,0
10,20.5,6.8,21.8,0
10,23.3,9.8,17,0
10,24.3,11.7,20.7,0
10,28.5,12.7,22.2,0
10,27.6,13.4,18,0
10,17.2,6.2,23.6,3
10,19.6,3.9,22.8,0
10,22.9,4.6,23.5,0
10,25,8.3,22.8,0
10,25.4,10.9,22.6,0
10,24,16.7,16.1,0
10,20.6,16.3,5.2,11.2
10,22,14.1,15.1,0
10,18.9,15,4.7,60.2
10,13.2,4.4,19.5,0
10,16.2,4.5,17.3,12.6
10,18.8,8.4,25.5,2.8
10,19.9,7,27.3,0
10,22.8,5.9,27.5,0
10,26.8,10.9,26.2,0
10,28.5,13.7,26.1,0
10,20.2,15.5,5.1,0
10,22.4,7,27.3,0
10,23.4,9.6,23,3
10,25.3,11.1,27.9,0
10,23.6,11,27.2,0
10,25.5,8.5,28.6,0
10,28.2,13.5,25.5,0
10,21.3,17.4,4.1,0
10,20.1,11.9,16.8,31.2
11,18.9,9.8,19.5,1.4
11,21.4,7.1,25.4,0
11,20,8.9,23.2,0
11,18.3,8.2,24.1,0
11,21.7,9.7,24.2,0
11,23.4,9.5,25.4,0
11,28.6,12.1,26.7,0
11,27.5,16.5,18.6,0
11,30.8,14.6,29.6,0
11,31.8,18.3,20.6,0
11,33.8,18.1,27,0
11,35.1,20.8,26.7,0
11,33,19.4,12,0
11,22.3,18.9,8.5,0
11,24.8,15.6,27.5,28.2
11,22.4,12.2,19,0
11,25.6,10.7,31,0
11,27.5,10.2,30.5,0
11,28.7,7.9,31.6,0
11,30,12.7,31.9,0
11,32,15.9,30.7,0
11,32.2,16.3,29.4,0
11,29,18.4,22.7,0
11,32.7,17.9,22.3,0
11,30.9,19.5,13.7,0
